SEASON_RANK,NAME,TEAM,QBR,PAA,PLAYS,EPA,PASS,RUN,SACK,PEN,RAW,YEAR,SEASON_TYPE
19,J. Winston,TB,57.2,21.2,662,65.5,38.4,13.1,-10.9,3.1,61.1,2015,REGULAR
20,B. Osweiler,DEN,54.9,2.8,331,29.6,16.5,2.5,-9.9,0.7,53.0,2015,REGULAR
21,J. McCown,CLE,52.9,0.3,374,32.7,18.9,0.9,-11.0,1.9,50.3,2015,REGULAR
22,B. Hoyer,HOU,52.8,7.5,432,35.7,23.7,2.9,-8.3,0.8,56.1,2015,REGULAR
23,A. Luck,IND,52.4,-0.6,358,25.3,13.0,7.2,-5.4,-0.4,49.4,2015,REGULAR
24,B. Bortles,JAX,51.4,3.8,734,62.0,25.8,10.7,-22.0,3.6,51.8,2015,REGULAR
25,J. Flacco,BAL,50.8,-0.4,459,40.3,30.4,1.1,-8.2,0.6,49.7,2015,REGULAR
26,M. Mariota,TEN,48.4,4.4,477,40.4,12.0,9.6,-15.1,3.7,53.3,2015,REGULAR
27,R. Tannehill,MIA,45.6,-7.4,710,45.5,27.3,1.0,-16.2,0.9,46.3,2015,REGULAR
28,P. Manning,DEN,44.2,-6.5,377,27.0,17.5,0.0,-7.4,2.1,43.9,2015,REGULAR
29,C. Kaepernick,SF,43.7,-6.4,337,18.5,0.4,8.2,-8.3,1.6,43.4,2015,REGULAR
30,D. Carr,OAK,43.1,-17.4,690,41.6,28.1,-0.6,-13.7,0.5,41.2,2015,REGULAR
31,S. Bradford,PHI,39.2,-14.1,625,38.2,27.5,-3.0,-10.0,3.7,42.1,2015,REGULAR
32,B. Gabbert,SF,37.6,-12.4,353,17.0,-3.4,8.9,-10.8,0.7,37.8,2015,REGULAR
33,N. Foles,STL,28.9,-26.1,393,8.7,3.0,-2.2,-6.4,1.5,28.1,2015,REGULAR
1,A. Rodgers,GB,74.6,5.1,92,12.8,10.5,1.0,-0.7,0.6,68.8,2015,POST
2,T. Brady,NE,70.7,3.2,112,12.8,8.2,2.9,-2.0,-0.3,59.9,2015,POST
3,A. Smith,KC,70.2,2.4,94,8.6,3.7,3.6,-1.1,0.3,59.1,2015,POST
4,K. Cousins,WSH,58.9,0.9,55,4.2,2.0,0.5,-2.2,-0.4,55.8,2015,POST
5,C. Newton,CAR,57.1,-0.2,132,8.7,2.0,3.4,-3.6,-0.3,49.4,2015,POST
6,B. Roethlisberger,PIT,51.3,-2.9,77,4.0,0.2,0.0,-3.5,0.2,36.9,2015,POST
7,R. Wilson,SEA,43.2,-4.3,90,2.7,-0.4,0.3,-2.3,0.5,33.8,2015,POST
8,C. Palmer,ARI,39.9,-4.8,93,3.0,1.1,0.0,-1.6,0.2,32.5,2015,POST
9,A. McCarron,CIN,33.8,-2.7,52,2.0,-0.3,0.2,-1.5,0.7,32.6,2015,POST
10,T. Bridgewater,MIN,32.3,-1.5,31,1.4,-1.6,0.7,-1.6,0.8,33.7,2015,POST
11,P. Manning,DEN,28.4,-8.9,112,1.4,-4.2,-0.3,-4.6,1.4,24.4,2015,POST
12,B. Hoyer,HOU,5.7,-8.2,38,-3.2,-5.1,0.0,-1.6,0.3,4.5,2015,POST
1,M. Ryan,ATL,79.6,61.8,647,110.9,83.1,7.6,-15.5,4.6,79.4,2016,REGULAR
2,T. Brady,NE,79.4,47.8,508,83.3,71.5,3.8,-5.3,2.7,79.1,2016,REGULAR
3,D. Prescott,DAL,77.6,53.1,572,102.5,71.1,18.8,-10.5,2.1,78.8,2016,REGULAR
4,A. Rodgers,GB,72.4,54.9,750,115.0,75.9,18.3,-14.5,6.2,73.8,2016,REGULAR
5,D. Brees,NO,66.8,33.6,760,96.5,84.4,1.6,-10.1,0.4,65.1,2016,REGULAR
6,K. Cousins,WSH,66.5,33.4,706,97.8,78.8,3.8,-12.1,3.1,66.1,2016,REGULAR
7,A. Luck,IND,65.9,32.7,702,91.4,56.6,10.9,-18.5,5.3,65.9,2016,REGULAR
8,M. Stafford,DET,65.2,34.6,715,98.4,61.5,16.0,-14.7,6.3,66.5,2016,REGULAR
9,T. Taylor,BUF,62.4,20.0,608,71.5,31.5,20.9,-15.7,3.4,61.4,2016,REGULAR
10,A. Smith,KC,60.8,13.7,600,62.7,44.7,6.6,-9.1,2.3,58.0,2016,REGULAR
11,B. Roethlisberger,PIT,60.5,19.5,576,64.7,53.7,1.9,-6.8,2.3,61.8,2016,REGULAR
12,J. Winston,TB,59.5,19.6,703,80.6,61.4,5.8,-13.8,-0.5,59.7,2016,REGULAR
13,M. Mariota,TEN,59.1,15.5,574,64.7,42.9,7.3,-9.5,5.0,59.4,2016,REGULAR
14,P. Rivers,SD,58.7,14.6,682,74.9,55.3,1.2,-13.5,4.9,57.5,2016,REGULAR
15,R. Wilson,SEA,57.1,13.5,699,75.7,47.4,5.8,-18.1,4.3,56.8,2016,REGULAR
16,D. Carr,OAK,56.1,8.8,672,72.3,58.9,-0.6,-6.1,7.9,54.6,2016,REGULAR
17,S. Bradford,MIN,53.1,13.4,644,64.6,45.8,3.1,-14.6,1.1,57.3,2016,REGULAR
18,C. Palmer,ARI,52.9,8.8,700,68.3,46.0,0.8,-15.9,5.6,54.5,2016,REGULAR
19,J. Flacco,BAL,52.5,5.7,753,74.7,53.1,4.8,-16.4,0.4,52.7,2016,REGULAR
20,A. Dalton,CIN,52.3,1.6,686,61.8,37.9,5.2,-15.2,3.6,50.8,2016,REGULAR
21,T. Siemian,DEN,49.7,-2.7,586,50.5,31.0,0.9,-15.1,3.5,48.4,2016,REGULAR
22,B. Osweiler,HOU,49.3,-0.8,583,49.0,23.9,9.6,-11.4,4.2,49.5,2016,REGULAR
23,C. Kaepernick,SF,49.2,-0.7,454,37.1,-0.3,22.8,-14.7,-0.1,49.5,2016,REGULAR
24,R. Tannehill,MIA,48.6,-0.8,476,40.1,25.4,3.7,-10.3,0.7,49.4,2016,REGULAR
25,C. Newton,CAR,47.1,-3.8,669,53.4,24.4,6.2,-17.4,5.4,48.0,2016,REGULAR
26,C. Wentz,PHI,46.7,-1.3,734,65.0,47.9,2.8,-12.1,2.2,49.4,2016,REGULAR
27,E. Manning,NYG,45.7,-1.3,660,62.0,49.7,0.4,-10.8,1.2,49.3,2016,REGULAR
28,B. Bortles,JAX,43.0,-15.9,773,52.0,18.7,13.4,-13.9,6.0,42.8,2016,REGULAR
29,R. Fitzpatrick,NYJ,39.2,-16.8,481,27.5,14.4,3.2,-7.0,2.9,37.9,2016,REGULAR
30,C. Keenum,LAR,37.5,-14.5,388,22.6,10.2,0.1,-11.0,1.2,37.1,2016,REGULAR
1,M. Ryan,ATL,90.5,19.4,117,23.6,18.3,1.9,-3.1,0.2,91.2,2016,POST
2,A. Rodgers,GB,83.2,15.3,151,23.1,17.1,1.3,-3.4,1.3,80.7,2016,POST
3,T. Brady,NE,75.8,11.9,161,22.3,16.5,0.6,-3.6,1.7,73.9,2016,POST
4,D. Prescott,DAL,73.6,4.2,45,8.0,4.6,2.0,-0.8,0.7,79.1,2016,POST
5,R. Wilson,SEA,60.3,3.6,73,8.7,4.3,1.1,-3.3,0.0,67.0,2016,POST
6,B. Roethlisberger,PIT,58.7,0.0,108,8.6,7.3,0.0,-1.0,0.4,49.9,2016,POST
7,E. Manning,NYG,46.9,-0.3,49,3.6,3.0,0.2,-0.6,-0.2,47.6,2016,POST
8,M. Moore,MIA,44.9,-2.0,45,1.3,1.1,-0.5,-0.7,0.0,34.4,2016,POST
9,M. Stafford,DET,44.1,-1.1,42,2.6,3.0,-1.1,-0.5,0.2,40.6,2016,POST
10,B. Osweiler,HOU,40.6,-2.9,78,4.3,0.6,2.1,-1.2,0.4,37.3,2016,POST
11,A. Smith,KC,31.4,-2.8,42,1.5,0.9,-0.2,-0.7,0.1,28.1,2016,POST
12,C. Cook,OAK,6.5,-11.1,51,-3.8,-5.4,0.0,-1.5,0.1,4.4,2016,POST
1,C. Wentz,PHI,78.6,48.8,567,85.8,70.3,10.1,-11.4,5.4,77.2,2017,REGULAR
2,C. Keenum,MIN,73.3,44.4,577,86.3,68.0,10.3,-10.7,8.0,74.8,2017,REGULAR
3,T. Brady,NE,71.1,50.2,689,97.5,90.3,-3.1,-15.2,10.3,73.7,2017,REGULAR
4,D. Prescott,DAL,70.0,36.6,622,79.7,49.4,24.4,-11.7,5.9,69.7,2017,REGULAR
5,B. Roethlisberger,PIT,67.2,31.6,639,83.4,72.4,2.6,-9.9,8.4,66.8,2017,REGULAR
6,M. Ryan,ATL,66.7,32.5,612,80.8,70.8,6.1,-10.7,3.8,68.0,2017,REGULAR
7,A. Smith,KC,65.6,32.9,642,85.1,68.8,13.7,-15.3,2.5,67.4,2017,REGULAR
8,M. Stafford,DET,65.3,30.8,678,81.6,71.3,6.3,-20.0,4.0,65.5,2017,REGULAR
9,D. Brees,NO,63.1,26.4,596,68.5,67.0,1.0,-9.5,0.6,65.2,2017,REGULAR
10,R. Wilson,SEA,62.4,25.7,724,83.6,57.5,23.8,-18.8,2.3,62.3,2017,REGULAR
11,P. Rivers,LAC,61.3,27.3,654,78.0,74.7,-1.3,-6.4,4.6,64.4,2017,REGULAR
12,B. Bortles,JAX,59.3,16.5,636,62.2,45.1,12.9,-10.5,4.3,59.1,2017,REGULAR
13,M. Mariota,TEN,59.0,14.9,574,63.1,37.6,19.6,-11.4,6.0,59.1,2017,REGULAR
14,J. McCown,NYJ,56.6,15.2,487,53.6,39.7,12.4,-15.7,1.5,60.8,2017,REGULAR
15,J. Goff,LAR,56.3,4.6,571,49.1,44.3,-0.5,-9.3,5.3,52.8,2017,REGULAR
16,T. Taylor,BUF,56.2,15.7,561,56.8,34.3,20.4,-18.7,2.1,59.8,2017,REGULAR
17,K. Cousins,WSH,56.2,8.5,655,60.0,51.9,5.5,-18.8,2.6,54.6,2017,REGULAR
18,C. Newton,CAR,52.7,9.6,698,66.2,40.3,21.6,-15.7,4.3,54.8,2017,REGULAR
19,J. Winston,TB,52.1,6.6,542,50.2,47.1,0.5,-12.7,2.6,54.3,2017,REGULAR
20,D. Carr,OAK,50.4,1.5,597,45.1,42.8,-2.3,-7.4,4.7,50.9,2017,REGULAR
21,C. Palmer,ARI,50.1,2.2,321,26.0,23.0,0.3,-8.6,2.7,52.5,2017,REGULAR
22,E. Manning,NYG,47.6,-8.2,662,44.8,39.3,2.4,-15.1,3.1,45.6,2017,REGULAR
23,J. Flacco,BAL,47.1,0.1,624,48.6,46.0,-0.3,-12.0,3.0,50.0,2017,REGULAR
24,B. Hundley,GB,45.6,-5.7,398,25.7,11.3,13.6,-12.6,0.8,45.0,2017,REGULAR
25,A. Dalton,CIN,44.6,-7.6,592,40.6,33.7,2.0,-17.6,4.9,45.5,2017,REGULAR
26,J. Brissett,IND,44.0,-13.7,613,37.0,27.2,6.0,-17.9,3.8,42.2,2017,REGULAR
27,J. Cutler,MIA,43.5,-6.1,486,30.6,26.7,1.2,-7.9,2.7,45.6,2017,REGULAR
28,M. Trubisky,CHI,33.3,-22.6,438,14.1,11.7,1.2,-12.6,1.2,32.5,2017,REGULAR
29,D. Kizer,CLE,32.4,-38.3,623,15.0,-1.5,13.8,-15.0,2.7,29.5,2017,REGULAR
30,T. Siemian,DEN,31.4,-21.1,436,14.2,8.0,3.9,-11.3,2.3,33.5,2017,REGULAR
1,T. Brady,NE,85.9,16.2,151,25.6,24.0,-0.1,-1.7,1.8,82.0,2017,POST
2,N. Foles,PHI,83.9,14.7,118,23.7,25.5,-3.2,-1.4,1.4,85.4,2017,POST
3,D. Brees,NO,81.9,6.8,78,12.7,12.5,0.1,-1.2,0.1,77.5,2017,POST
4,C. Newton,CAR,76.6,3.8,54,8.1,5.5,1.8,-2.3,0.9,73.0,2017,POST
5,B. Bortles,JAX,72.4,7.8,104,16.6,9.9,6.9,-2.0,-0.3,74.3,2017,POST
6,B. Roethlisberger,PIT,67.5,1.3,62,4.5,4.2,0.3,-0.4,0.0,57.1,2017,POST
7,M. Ryan,ATL,59.5,-0.4,78,6.6,6.2,-0.2,-2.5,0.6,48.3,2017,POST
8,C. Keenum,MIN,58.6,1.4,99,7.5,6.4,-0.2,-1.3,1.3,54.9,2017,POST
9,M. Mariota,TEN,53.0,2.0,96,7.8,2.3,5.9,-3.0,-0.4,57.4,2017,POST
10,A. Smith,KC,51.7,0.0,44,3.7,4.6,-1.1,-1.1,0.2,49.8,2017,POST
11,T. Taylor,BUF,48.7,-2.6,48,1.7,-0.6,1.6,-1.3,0.7,31.5,2017,POST
12,J. Goff,LAR,36.0,-1.3,52,2.8,2.6,0.0,-1.9,0.3,41.3,2017,POST
1,P. Mahomes,KC,80.3,72.2,722,126.0,101.0,11.7,-10.2,3.2,80.4,2018,REGULAR
2,D. Brees,NO,79.2,56.1,562,100.5,80.2,5.4,-8.7,6.2,80.4,2018,REGULAR
3,M. Trubisky,CHI,71.0,35.3,565,80.3,43.1,22.1,-11.3,3.8,70.8,2018,REGULAR
4,B. Roethlisberger,PIT,69.6,48.2,762,113.5,89.3,8.7,-10.4,5.1,71.0,2018,REGULAR
5,A. Luck,IND,69.6,42.9,741,103.0,84.4,5.0,-9.3,4.3,69.4,2018,REGULAR
6,T. Brady,NE,68.4,31.4,643,82.6,63.6,4.4,-9.9,4.7,66.6,2018,REGULAR
7,P. Rivers,LAC,67.8,33.9,595,79.1,65.8,-0.9,-12.8,1.3,69.1,2018,REGULAR
8,J. Winston,TB,66.2,28.6,485,65.6,37.8,10.8,-11.6,5.4,69.7,2018,REGULAR
9,M. Ryan,ATL,65.7,39.7,722,92.9,60.2,7.4,-20.4,4.9,68.5,2018,REGULAR
10,J. Goff,LAR,63.6,25.2,665,79.9,60.8,0.6,-14.0,4.4,63.1,2018,REGULAR
11,R. Wilson,SEA,63.3,21.1,571,69.0,32.0,11.0,-23.5,2.6,62.8,2018,REGULAR
12,C. Wentz,PHI,62.0,17.8,488,58.5,39.8,1.8,-13.8,3.1,62.6,2018,REGULAR
13,D. Watson,HOU,61.8,21.5,702,79.5,31.8,17.0,-26.8,3.8,60.7,2018,REGULAR
14,K. Cousins,MIN,59.5,16.8,718,71.8,57.3,-5.1,-17.5,2.2,58.2,2018,REGULAR
15,A. Dalton,CIN,59.4,15.4,433,50.6,35.4,2.0,-9.8,3.4,62.3,2018,REGULAR
16,A. Rodgers,GB,58.0,9.1,737,70.0,25.1,17.8,-23.9,3.2,54.4,2018,REGULAR
17,D. Prescott,DAL,55.2,12.2,693,71.7,35.1,12.2,-22.3,2.1,56.2,2018,REGULAR
18,J. Flacco,BAL,54.8,7.9,441,43.4,30.1,2.9,-5.8,4.6,56.3,2018,REGULAR
19,C. Newton,CAR,53.2,8.9,629,62.6,41.7,8.4,-12.5,0.0,55.0,2018,REGULAR
19,M. Mariota,TEN,53.2,0.8,471,42.2,14.6,6.7,-16.1,4.8,50.6,2018,REGULAR
21,N. Mullens,SF,51.7,3.6,334,29.0,23.6,-2.8,-6.4,1.8,53.8,2018,REGULAR
22,M. Stafford,DET,51.3,-2.8,647,49.2,25.8,4.2,-15.0,4.2,48.4,2018,REGULAR
23,B. Mayfield,CLE,51.2,5.3,580,51.5,34.8,0.9,-12.2,3.6,53.2,2018,REGULAR
24,J. Allen,BUF,49.8,-0.3,461,35.6,-1.8,24.1,-9.7,3.5,49.8,2018,REGULAR
25,E. Manning,NYG,49.1,-2.5,684,54.8,30.2,2.0,-20.2,2.4,48.7,2018,REGULAR
26,A. Smith,WSH,46.9,1.6,422,35.0,17.8,5.5,-8.8,2.9,51.4,2018,REGULAR
27,D. Carr,OAK,46.5,-5.9,669,50.8,27.3,2.5,-20.9,0.2,46.9,2018,REGULAR
28,S. Darnold,NYJ,45.9,-6.6,510,36.6,23.5,3.3,-10.9,-1.1,45.5,2018,REGULAR
29,C. Keenum,DEN,44.5,-8.8,685,50.6,26.9,4.2,-16.0,3.5,45.5,2018,REGULAR
30,B. Bortles,JAX,43.4,-12.2,515,30.5,9.3,11.6,-11.2,-1.6,41.7,2018,REGULAR
31,L. Jackson,BAL,42.6,-3.6,338,27.7,6.6,13.8,-6.8,0.4,46.3,2018,REGULAR
32,R. Tannehill,MIA,33.2,-20.6,363,13.4,-6.3,3.6,-15.3,0.8,31.0,2018,REGULAR
33,J. Rosen,ARI,24.1,-38.7,491,7.9,-13.6,3.3,-17.0,1.2,24.7,2018,REGULAR
1,D. Prescott,DAL,76.5,6.7,80,13.0,7.0,3.9,-1.0,1.1,76.7,2018,POST
2,P. Rivers,LAC,74.0,5.4,101,9.2,7.6,0.9,-0.6,0.1,68.0,2018,POST
3,R. Wilson,SEA,72.4,1.7,32,4.4,2.8,1.0,-0.6,-0.1,67.9,2018,POST
4,N. Foles,PHI,70.0,3.1,78,10.6,8.8,0.2,-0.7,0.9,63.7,2018,POST
5,P. Mahomes,KC,67.3,5.5,97,12.3,4.5,2.4,-3.3,2.0,68.9,2018,POST
6,T. Brady,NE,66.9,5.9,132,16.2,14.8,0.0,-0.5,0.9,65.2,2018,POST
7,D. Brees,NO,57.6,2.7,89,11.1,8.6,-0.1,-1.6,0.9,60.7,2018,POST
8,A. Luck,IND,53.9,0.2,86,5.1,2.7,0.7,-1.4,0.3,50.8,2018,POST
9,M. Trubisky,CHI,46.9,-0.4,48,4.3,4.9,-1.4,-0.8,0.0,47.0,2018,POST
10,J. Goff,LAR,41.4,-2.4,122,9.1,5.3,1.1,-2.7,0.0,43.1,2018,POST
11,D. Watson,HOU,18.1,-5.5,61,0.3,-2.1,1.7,-0.7,-0.1,21.7,2018,POST
12,L. Jackson,BAL,10.4,-7.3,44,-2.0,-2.7,-1.2,-1.9,-0.1,8.7,2018,POST
1,L. Jackson,BAL,83.0,66.7,613,103.7,55.0,39.1,-7.4,2.2,82.3,2019,REGULAR
2,P. Mahomes,KC,77.7,55.8,585,97.3,71.6,14.3,-6.5,5.0,79.4,2019,REGULAR
3,D. Brees,NO,73.3,33.7,419,62.6,53.1,1.6,-6.0,1.9,75.7,2019,REGULAR
4,D. Prescott,DAL,71.9,48.1,690,93.1,70.7,10.0,-9.7,2.6,72.8,2019,REGULAR
5,R. Wilson,SEA,71.5,43.0,674,90.9,58.3,10.6,-20.6,1.5,71.2,2019,REGULAR
6,M. Stafford,DET,71.3,27.0,353,56.1,44.5,1.6,-8.0,1.9,74.7,2019,REGULAR
7,D. Watson,HOU,70.5,42.3,662,91.6,52.0,19.8,-18.5,1.4,71.2,2019,REGULAR
8,R. Fitzpatrick,MIA,68.3,30.2,620,70.7,47.6,6.3,-13.1,3.7,66.6,2019,REGULAR
9,R. Tannehill,TEN,64.2,19.0,374,45.8,18.1,11.7,-13.7,2.3,67.2,2019,REGULAR
10,D. Carr,OAK,64.1,27.3,598,70.3,54.2,2.7,-12.3,1.1,65.6,2019,REGULAR
11,C. Wentz,PHI,62.8,32.2,745,90.5,61.5,7.7,-15.5,5.8,64.8,2019,REGULAR
12,J. Garoppolo,SF,60.8,20.8,593,69.3,48.5,-0.2,-15.9,5.0,62.1,2019,REGULAR
13,K. Cousins,MIN,60.4,18.1,537,59.0,44.6,-1.6,-10.9,5.1,61.7,2019,REGULAR
14,M. Ryan,ATL,59.6,22.3,748,75.1,45.4,5.4,-18.6,5.7,60.4,2019,REGULAR
15,K. Murray,ARI,57.7,16.2,709,71.6,37.3,13.4,-17.8,3.0,58.0,2019,REGULAR
16,J. Winston,TB,55.7,20.1,772,78.4,48.7,9.0,-18.3,2.6,59.1,2019,REGULAR
17,T. Brady,NE,55.7,8.9,691,61.0,40.0,4.5,-11.0,5.4,54.5,2019,REGULAR
18,D. Jones,NYG,55.7,11.5,577,55.1,22.2,11.6,-17.4,4.0,57.0,2019,REGULAR
19,B. Mayfield,CLE,54.4,2.3,664,54.4,22.4,9.5,-17.6,5.0,51.2,2019,REGULAR
20,A. Rodgers,GB,52.5,10.9,691,66.4,39.7,9.3,-16.4,1.1,55.6,2019,REGULAR
21,J. Brissett,IND,52.1,6.6,564,52.2,27.9,6.7,-11.2,6.4,54.1,2019,REGULAR
22,J. Goff,LAR,50.6,0.5,734,57.5,54.4,-7.3,-8.8,1.6,50.2,2019,REGULAR
23,P. Rivers,LAC,50.5,1.5,691,57.1,39.7,-3.4,-16.7,4.1,50.8,2019,REGULAR
24,J. Allen,BUF,49.4,-3.8,639,51.4,21.1,10.4,-17.4,2.6,47.9,2019,REGULAR
25,S. Darnold,NYJ,45.6,-9.7,525,31.6,17.4,-3.0,-13.7,3.6,43.5,2019,REGULAR
26,G. Minshew,JAX,44.6,-4.7,600,41.8,21.5,5.4,-13.5,1.4,47.2,2019,REGULAR
27,A. Dalton,CIN,42.1,-20.1,632,30.3,12.8,1.6,-12.9,3.0,38.9,2019,REGULAR
28,M. Trubisky,CHI,41.5,-13.5,644,39.8,17.7,1.7,-16.5,3.9,42.6,2019,REGULAR
29,K. Allen,CAR,38.3,-17.4,588,28.0,5.3,0.7,-19.9,2.1,39.7,2019,REGULAR
30,M. Rudolph,PIT,36.2,-12.9,336,16.9,7.2,-1.3,-7.8,3.2,36.8,2019,REGULAR
1,R. Wilson,SEA,89.8,11.1,87,17.2,10.3,5.0,-2.2,-0.3,85.9,2019,POST
2,P. Mahomes,KC,89.1,22.4,148,32.6,20.9,6.5,-2.0,3.2,89.5,2019,POST
3,D. Watson,HOU,71.2,4.1,111,10.5,6.8,-0.9,-4.5,0.1,62.7,2019,POST
4,R. Tannehill,TEN,68.6,2.1,86,8.3,4.6,-0.1,-2.1,1.7,58.6,2019,POST
5,K. Cousins,MIN,67.5,3.0,73,8.2,5.6,-0.1,-2.3,0.4,64.3,2019,POST
6,A. Rodgers,GB,63.1,2.7,80,6.7,3.9,-0.4,-2.3,0.9,61.6,2019,POST
7,D. Brees,NO,49.3,0.4,38,3.9,1.7,0.2,-2.0,-0.1,53.9,2019,POST
8,J. Garoppolo,SF,45.8,-1.3,73,4.9,2.8,-0.3,-2.3,0.1,43.8,2019,POST
9,J. Allen,BUF,42.5,-1.1,60,4.2,0.4,2.3,-1.9,-0.3,43.6,2019,POST
10,T. Brady,NE,40.8,-0.6,38,2.8,2.6,0.0,0.0,0.2,44.2,2019,POST
11,L. Jackson,BAL,30.4,-4.2,86,2.4,0.8,2.1,-0.9,-1.5,33.4,2019,POST
12,J. McCown,PHI,25.5,-2.8,42,1.1,-2.1,-0.6,-2.5,1.3,28.3,2019,POST
1,A. Rodgers,GB,79.8,64.4,608,113.1,98.4,9.3,-7.0,5.4,81.7,2020,REGULAR
2,P. Mahomes,KC,78.1,70.9,710,138.1,116.1,19.1,-9.4,2.9,80.4,2020,REGULAR
3,J. Allen,BUF,76.6,63.2,729,128.6,112.1,13.0,-11.0,3.5,77.3,2020,REGULAR
4,R. Tannehill,TEN,72.6,43.9,594,95.3,68.2,22.1,-11.2,5.0,74.0,2020,REGULAR
5,R. Fitzpatrick,MIA,70.9,22.5,324,49.9,41.6,5.6,-5.1,2.7,72.8,2020,REGULAR
6,D. Brees,NO,68.3,27.1,428,66.2,62.5,1.0,-6.2,2.8,71.0,2020,REGULAR
7,L. Jackson,BAL,67.3,31.9,585,82.9,50.9,30.8,-8.9,1.2,68.4,2020,REGULAR
8,R. Wilson,SEA,67.1,32.7,716,102.9,88.6,9.1,-20.7,5.1,65.6,2020,REGULAR
9,T. Brady,TB,66.0,34.3,681,94.7,90.4,-3.1,-8.6,7.3,67.1,2020,REGULAR
10,B. Mayfield,CLE,65.5,26.1,597,83.6,76.9,3.3,-10.6,3.4,65.0,2020,REGULAR
11,D. Carr,LV,64.3,28.8,609,91.1,76.1,7.4,-10.7,7.6,66.2,2020,REGULAR
12,D. Watson,HOU,63.7,31.9,715,99.6,85.9,12.0,-19.5,1.7,65.3,2020,REGULAR
13,J. Herbert,LAC,62.6,36.4,699,102.3,94.9,3.7,-13.3,3.7,67.6,2020,REGULAR
14,K. Murray,ARI,61.9,24.7,763,99.9,64.5,32.3,-11.8,3.1,61.3,2020,REGULAR
15,M. Stafford,DET,61.3,20.7,626,77.3,64.7,9.0,-14.1,3.7,61.5,2020,REGULAR
16,M. Ryan,ATL,59.8,23.6,731,90.1,80.6,4.7,-17.4,4.9,61.2,2020,REGULAR
17,T. Bridgewater,CAR,56.8,12.0,607,71.7,54.8,12.3,-12.6,4.6,57.0,2020,REGULAR
18,K. Cousins,MIN,55.8,15.7,629,76.9,67.6,6.4,-18.2,2.9,58.7,2020,REGULAR
19,P. Rivers,IND,55.0,13.7,600,73.4,68.1,-0.1,-8.2,5.5,58.0,2020,REGULAR
20,D. Jones,NYG,54.0,-1.0,586,57.6,42.7,10.0,-16.9,4.8,49.4,2020,REGULAR
21,M. Trubisky,CHI,53.8,7.6,376,41.0,32.3,7.2,-7.5,1.5,57.1,2020,REGULAR
22,B. Roethlisberger,PIT,52.5,6.4,677,76.0,71.6,-5.1,-6.4,9.4,53.3,2020,REGULAR
23,J. Goff,LAR,50.8,-1.6,650,64.0,56.8,2.8,-11.0,4.4,49.2,2020,REGULAR
24,J. Burrow,CIN,48.5,-4.6,510,47.8,46.9,-0.5,-13.3,1.5,46.8,2020,REGULAR
25,A. Dalton,DAL,46.1,-8.9,409,30.9,26.2,2.5,-12.1,2.2,42.3,2020,REGULAR
26,T. Tagovailoa,MIA,44.8,-2.1,362,32.4,24.6,6.6,-8.9,1.3,47.9,2020,REGULAR
27,G. Minshew,JAX,44.0,-2.0,403,31.9,24.9,5.1,-12.3,1.9,48.2,2020,REGULAR
28,C. Wentz,PHI,41.9,-21.6,581,39.4,21.5,10.8,-21.8,7.1,37.1,2020,REGULAR
29,D. Lock,DEN,41.2,-5.1,523,44.8,35.9,5.5,-7.8,3.4,46.6,2020,REGULAR
30,C. Newton,NE,39.4,-14.1,538,42.9,28.2,14.1,-13.7,0.7,40.9,2020,REGULAR
31,N. Mullens,SF,36.3,-21.0,379,17.2,16.1,-0.2,-8.6,1.4,31.3,2020,REGULAR
32,N. Foles,CHI,36.0,-14.6,359,22.3,21.2,-1.7,-8.7,2.7,36.0,2020,REGULAR
33,S. Darnold,NYJ,32.9,-22.6,455,24.3,8.7,12.8,-15.5,2.7,33.1,2020,REGULAR
1,P. Rivers,IND,88.7,5.9,47,10.7,10.7,0.0,0.0,0.0,85.4,2020,POST
2,P. Mahomes,KC,75.3,10.3,135,19.3,15.6,3.4,-0.7,0.3,74.7,2020,POST
3,A. Rodgers,GB,75.2,6.4,93,15.9,14.7,1.1,-2.0,0.2,72.6,2020,POST
4,T. Brady,TB,74.2,8.0,157,24.5,22.5,0.7,-2.9,1.3,67.3,2020,POST
5,B. Mayfield,CLE,71.1,3.7,81,9.5,8.0,1.4,-0.6,0.0,65.7,2020,POST
6,L. Jackson,BAL,65.7,3.5,82,12.7,3.9,8.2,-2.8,0.6,64.7,2020,POST
7,R. Tannehill,TEN,65.5,0.9,30,4.3,3.9,0.4,-0.6,-0.1,60.4,2020,POST
8,J. Goff,LAR,64.8,0.6,60,6.5,6.1,0.4,-3.0,0.1,53.6,2020,POST
9,J. Allen,BUF,61.7,4.7,154,19.0,13.2,5.5,-3.9,0.3,60.7,2020,POST
10,B. Roethlisberger,PIT,59.2,2.4,73,4.7,4.8,0.0,0.0,-0.1,61.2,2020,POST
11,T. Heinicke,WSH,57.0,1.2,54,6.8,2.5,4.1,-0.6,0.2,57.8,2020,POST
12,D. Brees,NO,37.5,-2.7,89,6.7,7.7,-1.8,0.0,0.8,39.3,2020,POST
13,R. Wilson,SEA,12.7,-6.5,40,-1.5,-2.3,1.1,-1.5,-0.4,9.0,2020,POST
14,M. Trubisky,CHI,9.7,-6.2,34,-1.6,0.3,-1.8,-0.6,-0.1,7.1,2020,POST
1,A. Rodgers,GB,74.1,43.3,610,95.8,85.1,5.2,-12.6,5.4,73.2,2021,REGULAR
