WEEK_RANK,NAME,TEAM,WEEK,RESULT,QBR,PAA,PLAYS,EPA,PASS,RUN,SACK,PEN,RAW,YEAR,SEASON_TYPE
1,R. Grossman,CHI,1,W26-0at GB,96.4,5.5,31,5.4,4.3,0.6,-0.5,0.1,92.4,2006,REGULAR
2,D. McNabb,PHI,1,W24-10at HOU,92.5,8.1,38,8.9,8.6,0.1,-0.3,-0.1,95.4,2006,REGULAR
3,C. Pennington,NYJ,1,W23-16at TEN,90.1,6.1,43,7.5,6.5,-0.3,-1.0,0.2,88.1,2006,REGULAR
4,P. Manning,IND,1,W26-21at NYG,86.0,5.8,45,8.3,8.4,0.0,-0.3,-0.3,86.0,2006,REGULAR
5,M. Vick,ATL,1,W20-6at CAR,79.4,1.8,30,3.4,1.3,1.1,-0.7,0.4,70.5,2006,REGULAR
6,C. Batch,PIT,1,W28-17vs. MIA,71.0,2.6,32,4.5,4.4,-1.8,-1.1,0.7,75.8,2006,REGULAR
7,S. McNair,BAL,1,W27-0at TB,65.6,2.1,33,3.0,3.5,-1.3,-0.5,0.3,71.5,2006,REGULAR
8,B. Leftwich,JAX,1,W24-17vs. DAL,65.1,3.1,39,5.2,5.2,-0.5,-0.4,0.0,75.2,2006,REGULAR
9,B. Johnson,MIN,1,W19-16at WSH,64.4,3.1,36,5.2,5.0,0.0,-0.2,0.1,77.3,2006,REGULAR
10,J.P. Losman,BUF,1,L19-17at NE,59.6,0.3,28,1.8,0.1,0.0,-1.9,-0.2,53.5,2006,REGULAR
11,M. Brunell,WSH,1,L19-16vs. MIN,57.5,-0.2,31,1.6,2.8,-1.1,0.0,-0.1,47.6,2006,REGULAR
12,E. Manning,NYG,1,L26-21vs. IND,54.0,1.3,41,3.4,5.7,-1.7,0.0,-0.7,61.0,2006,REGULAR
13,D. Bledsoe,DAL,1,L24-17at JAX,53.1,-0.9,41,1.3,0.5,0.6,-0.4,-0.2,42.3,2006,REGULAR
14,T. Brady,NE,1,W19-17vs. BUF,50.7,0.4,29,2.1,-0.9,0.9,-1.8,0.2,55.0,2006,REGULAR
15,D. Brees,NO,1,W19-14at CLE,48.9,0.2,32,2.0,2.2,0.0,0.0,-0.1,52.4,2006,REGULAR
16,D. Carr,HOU,1,L24-10vs. PHI,48.8,0.4,40,2.5,-1.4,0.6,-2.7,0.5,53.5,2006,REGULAR
17,A. Smith,SF,1,L34-27at ARI,46.9,0.1,43,2.3,2.4,0.0,-0.3,-0.4,51.0,2006,REGULAR
18,K. Warner,ARI,1,W34-27vs. SF,46.4,0.1,43,2.5,2.9,-1.7,-1.3,0.0,50.7,2006,REGULAR
19,J. Kitna,DET,1,L9-6vs. SEA,36.9,-1.8,43,0.7,-0.3,0.0,-1.0,0.0,35.3,2006,REGULAR
20,C. Frye,CLE,1,L19-14vs. NO,36.0,-1.0,41,1.4,-2.3,1.5,-2.0,0.1,41.4,2006,REGULAR
21,C. Palmer,CIN,1,W23-10at KC,33.6,-0.9,23,0.4,0.0,0.0,-0.6,-0.2,37.0,2006,REGULAR
22,M. Hasselbeck,SEA,1,W9-6at DET,32.9,-1.6,41,0.8,-1.3,-0.6,-2.7,0.0,36.2,2006,REGULAR
23,B. Favre,GB,1,L26-0vs. CHI,25.0,-3.9,36,-1.0,-1.7,-0.7,-1.4,-0.1,17.6,2006,REGULAR
24,D. Culpepper,MIA,1,L28-17at PIT,20.5,-4.0,45,-1.2,-1.6,0.0,-0.6,-0.1,22.2,2006,REGULAR
25,T. Green,KC,1,L23-10vs. CIN,20.2,-1.4,23,0.0,-0.3,-1.3,-1.6,-0.1,30.0,2006,REGULAR
26,A. Brooks,OAK,1,L27-0vs. SD,16.9,-3.8,26,-2.0,-6.2,1.4,-2.7,0.1,11.2,2006,REGULAR
27,K. Collins,TEN,1,L23-16vs. NYJ,16.6,-4.4,45,-1.6,-2.0,0.0,-0.5,0.0,19.9,2006,REGULAR
28,C. Simms,TB,1,L27-0vs. BAL,8.6,-6.1,33,-3.0,-3.6,-0.1,-0.6,0.1,6.7,2006,REGULAR
29,J. Delhomme,CAR,1,L20-6vs. ATL,8.0,-6.6,45,-2.6,-3.9,0.0,-1.4,-0.2,11.3,2006,REGULAR
30,D. Huard,KC,1,L23-10vs. CIN,7.2,-3.6,25,-0.8,-2.1,0.2,-1.1,0.0,11.6,2006,REGULAR
1,R. Grossman,CHI,2,W34-7vs. DET,97.8,9.8,31,7.3,6.9,0.0,0.0,0.4,98.9,2006,REGULAR
2,P. Manning,IND,2,W43-24vs. HOU,94.3,12.0,47,8.1,7.2,0.1,-0.3,0.4,97.4,2006,REGULAR
3,M. Vick,ATL,2,W14-3vs. TB,91.8,7.1,34,7.9,0.0,6.3,-1.0,0.7,95.1,2006,REGULAR
4,T. Brady,NE,2,W24-17at NYJ,90.6,5.0,32,5.8,4.4,0.0,-0.6,0.8,90.1,2006,REGULAR
5,V. Young,TEN,2,L40-7at SD,81.4,1.5,25,0.9,0.3,0.5,0.0,0.0,70.2,2006,REGULAR
6,P. Rivers,SD,2,W40-7vs. TEN,76.2,3.5,40,3.6,2.9,0.7,0.0,0.0,77.6,2006,REGULAR
7,D. Brees,NO,2,W34-27at GB,74.9,1.0,47,3.6,1.3,0.0,-2.0,0.3,57.5,2006,REGULAR
8,J. Kitna,DET,2,L34-7at CHI,68.2,0.1,42,1.5,-1.0,0.2,-1.6,0.7,51.1,2006,REGULAR
9,D. McNabb,PHI,2,L30-24vs. NYG,66.8,3.7,54,6.4,4.9,1.4,-0.5,-0.4,72.6,2006,REGULAR
10,C. Palmer,CIN,2,W34-17vs. CLE,65.0,3.7,51,5.6,4.7,0.1,-1.3,-0.5,73.8,2006,REGULAR
11,E. Manning,NYG,2,W30-24at PHI,63.1,1.8,56,4.5,1.9,0.0,-3.1,-0.5,61.0,2006,REGULAR
12,C. Pennington,NYJ,2,L24-17vs. NE,57.5,0.9,43,2.8,1.1,0.0,-1.2,0.5,57.4,2006,REGULAR
13,B. Favre,GB,2,L34-27vs. NO,56.5,2.1,60,5.0,4.0,0.0,-1.0,0.0,61.9,2006,REGULAR
14,A. Smith,SF,2,W20-13vs. STL,56.4,0.9,24,2.3,2.6,-0.2,0.0,-0.1,63.6,2006,REGULAR
15,B. Leftwich,JAX,2,W9-0vs. PIT,51.3,1.4,45,4.0,3.7,0.0,-0.5,-0.2,60.6,2006,REGULAR
16,D. Bledsoe,DAL,2,W27-10vs. WSH,46.3,2.3,42,4.5,2.6,0.0,-0.6,1.2,68.1,2006,REGULAR
17,M. Bulger,STL,2,L20-13at SF,45.1,-0.9,43,1.6,-0.9,0.0,-2.8,-0.3,42.5,2006,REGULAR
18,K. Warner,ARI,2,L21-10at SEA,44.9,-2.0,52,0.9,-0.3,0.0,-1.2,0.0,36.8,2006,REGULAR
19,D. Carr,HOU,2,L43-24at IND,43.5,-0.6,33,0.7,0.8,-1.2,-1.1,0.0,43.7,2006,REGULAR
20,J. Plummer,DEN,2,W9-6vs. KC,35.9,-0.4,31,1.5,1.3,0.0,0.0,0.2,45.9,2006,REGULAR
21,J. Delhomme,CAR,2,L16-13at MIN,33.6,-3.6,38,-1.4,-3.4,0.0,-1.8,0.1,20.5,2006,REGULAR
22,S. McNair,BAL,2,W28-6vs. OAK,33.1,-3.1,40,-0.6,-1.8,0.5,-0.9,-0.2,25.0,2006,REGULAR
23,M. Hasselbeck,SEA,2,W21-10vs. ARI,32.4,-0.7,34,1.1,-0.4,0.0,-1.3,0.2,42.9,2006,REGULAR
24,C. Simms,TB,2,L14-3at ATL,32.3,-2.6,57,0.6,0.0,-0.2,-0.2,0.6,34.5,2006,REGULAR
25,J.P. Losman,BUF,2,W16-6at MIA,32.2,-1.4,26,0.1,-2.5,0.1,-1.2,1.3,31.6,2006,REGULAR
26,B. Roethlisberger,PIT,2,L9-0at JAX,21.8,-4.5,37,-2.2,-1.3,-2.0,-0.8,0.4,15.2,2006,REGULAR
27,A. Walter,OAK,2,L28-6at BAL,17.6,-5.8,38,-2.4,-5.1,-0.2,-2.8,0.0,10.2,2006,REGULAR
28,B. Johnson,MIN,2,W16-13vs. CAR,14.2,-5.8,40,-3.4,-4.6,-1.2,-2.5,0.0,11.4,2006,REGULAR
29,C. Frye,CLE,2,L34-17at CIN,11.2,-4.8,37,-1.7,-0.4,-1.3,0.0,0.0,13.9,2006,REGULAR
30,D. Huard,KC,2,L9-6at DEN,11.1,-4.8,26,-3.3,-1.9,-1.9,-0.6,-0.2,6.7,2006,REGULAR
31,D. Culpepper,MIA,2,L16-6vs. BUF,6.6,-7.7,44,-3.5,-6.1,-0.4,-3.3,-0.3,7.8,2006,REGULAR
32,M. Brunell,WSH,2,L27-10at DAL,5.8,-7.9,43,-3.7,-4.9,-0.3,-1.8,-0.4,7.0,2006,REGULAR
33,K. Collins,TEN,2,L40-7at SD,4.9,-5.2,20,-2.3,-2.5,0.0,0.0,0.2,2.4,2006,REGULAR
1,J. Plummer,DEN,3,W17-7at NE,93.4,5.5,33,7.2,5.3,1.2,0.0,0.6,91.4,2006,REGULAR
2,B. Favre,GB,3,W31-24at DET,90.7,6.7,39,8.6,9.0,-0.3,0.0,-0.1,91.8,2006,REGULAR
3,M. Hasselbeck,SEA,3,W42-30vs. NYG,90.7,6.1,34,4.1,4.2,0.0,0.0,-0.1,92.7,2006,REGULAR
4,M. Brunell,WSH,3,W31-15at HOU,87.1,5.7,33,5.8,5.8,0.1,0.0,-0.2,91.9,2006,REGULAR
5,C. Pennington,NYJ,3,W28-20at BUF,85.3,3.9,33,5.5,4.5,0.7,-0.4,-0.1,84.0,2006,REGULAR
6,S. McNair,BAL,3,W15-14at CLE,82.7,5.4,45,7.9,7.3,0.0,-0.8,-0.1,84.6,2006,REGULAR
7,D. Brees,NO,3,W23-3vs. ATL,75.9,3.2,30,3.5,3.4,-0.1,-0.2,0.0,82.2,2006,REGULAR
8,P. Manning,IND,3,W21-14vs. JAX,75.6,2.4,35,4.3,3.2,0.4,-0.6,0.2,72.6,2006,REGULAR
9,C. Simms,TB,3,L26-24vs. CAR,71.5,1.4,30,3.0,-0.6,2.9,-0.5,0.2,66.2,2006,REGULAR
10,D. McNabb,PHI,3,W38-24at SF,69.4,2.0,39,3.0,2.3,0.1,-0.9,-0.3,67.2,2006,REGULAR
11,M. Bulger,STL,3,W16-14at ARI,68.8,2.6,37,4.7,4.3,-1.0,-0.4,1.0,73.1,2006,REGULAR
12,C. Frye,CLE,3,L15-14vs. BAL,65.1,1.1,45,3.7,-1.3,1.4,-3.4,0.1,58.8,2006,REGULAR
13,K. Collins,TEN,3,L13-10at MIA,62.1,1.3,39,3.6,2.2,0.0,-1.3,0.0,61.5,2006,REGULAR
14,J. Kitna,DET,3,L31-24vs. GB,56.9,-0.8,50,1.9,-0.4,0.4,-1.6,0.3,44.2,2006,REGULAR
15,T. Brady,NE,3,L17-7vs. DEN,56.4,-0.1,59,2.4,3.3,-0.8,0.0,-0.1,49.5,2006,REGULAR
16,C. Palmer,CIN,3,W28-20at PIT,54.7,0.7,34,2.7,-0.7,0.6,-3.0,-0.2,57.2,2006,REGULAR
17,A. Smith,SF,3,L38-24vs. PHI,54.2,1.5,58,2.5,0.3,1.9,-0.3,-0.1,58.9,2006,REGULAR
18,B. Leftwich,JAX,3,L21-14at IND,51.4,0.2,37,2.0,0.2,1.5,-0.2,0.2,51.6,2006,REGULAR
19,R. Grossman,CHI,3,W19-16at MIN,49.2,-2.4,49,0.4,-0.1,0.0,-0.4,0.1,33.0,2006,REGULAR
20,J. Delhomme,CAR,3,W26-24at TB,45.9,0.3,45,2.8,0.0,1.1,-1.9,-0.1,52.7,2006,REGULAR
21,B. Johnson,MIN,3,L19-16vs. CHI,42.4,-1.8,34,0.2,0.2,-0.8,-0.7,0.0,32.1,2006,REGULAR
22,D. Culpepper,MIA,3,W13-10vs. TEN,42.2,-0.7,38,1.6,-2.3,1.1,-2.9,-0.1,43.9,2006,REGULAR
23,K. Warner,ARI,3,L16-14vs. STL,39.4,-0.3,34,1.6,1.5,-0.5,-0.5,0.2,46.8,2006,REGULAR
24,J.P. Losman,BUF,3,L28-20vs. NYJ,29.8,-2.1,47,0.5,-0.9,-0.3,-1.3,0.4,34.7,2006,REGULAR
25,M. Vick,ATL,3,L23-3at NO,20.8,-4.2,43,-1.0,-2.8,0.5,-1.4,-0.1,20.0,2006,REGULAR
26,E. Manning,NYG,3,L42-30at SEA,13.9,-6.1,40,-1.7,-2.0,0.0,-0.6,-0.3,10.2,2006,REGULAR
27,B. Roethlisberger,PIT,3,L28-20vs. CIN,12.2,-4.1,40,-1.4,-2.7,0.0,-1.2,0.0,19.0,2006,REGULAR
28,D. Carr,HOU,3,L31-15vs. WSH,6.1,-4.8,36,-1.7,0.0,-2.5,-0.8,0.0,13.3,2006,REGULAR
1,D. Huard,KC,4,W41-0vs. SF,99.0,8.4,25,6.9,6.5,-0.1,0.0,0.6,99.1,2006,REGULAR
2,D. Bledsoe,DAL,4,W45-14at TEN,95.1,4.3,22,4.7,4.8,0.0,0.0,-0.1,94.0,2006,REGULAR
3,P. Manning,IND,4,W31-28at NYJ,90.1,5.5,36,7.5,4.6,1.3,-1.2,0.4,89.6,2006,REGULAR
4,D. McNabb,PHI,4,W31-9vs. GB,89.3,4.5,40,6.4,3.2,1.7,-1.3,0.3,83.3,2006,REGULAR
5,R. Grossman,CHI,4,W37-6vs. SEA,88.0,5.0,37,5.9,3.8,0.7,-0.7,0.7,87.3,2006,REGULAR
6,D. Brees,NO,4,L21-18at CAR,85.2,3.8,44,6.0,4.6,-0.1,-0.7,0.8,77.3,2006,REGULAR
7,C. Frye,CLE,4,W24-21at OAK,82.1,2.2,37,4.2,1.9,0.6,-1.3,0.5,70.0,2006,REGULAR
8,J.P. Losman,BUF,4,W17-12vs. MIN,78.3,2.9,47,5.4,2.8,0.8,-1.6,0.1,70.8,2006,REGULAR
9,T. Brady,NE,4,W38-13at CIN,78.3,3.0,28,4.1,2.0,2.0,0.0,0.1,82.1,2006,REGULAR
10,M. Brunell,WSH,4,W36-30vs. JAX,74.2,2.0,31,3.8,3.9,0.0,0.0,-0.1,71.1,2006,REGULAR
11,P. Rivers,SD,4,L16-13at BAL,66.5,0.3,26,1.7,1.9,0.0,0.0,-0.2,54.5,2006,REGULAR
12,D. Carr,HOU,4,W17-15vs. MIA,61.8,1.9,36,3.9,1.4,0.7,-1.8,0.0,67.5,2006,REGULAR
13,M. Vick,ATL,4,W32-10vs. ARI,60.2,2.2,37,4.2,-1.9,5.2,-0.9,0.0,70.1,2006,REGULAR
14,C. Pennington,NYJ,4,L31-28vs. IND,59.9,1.6,32,3.1,0.5,0.8,-1.1,0.7,66.5,2006,REGULAR
15,J. Delhomme,CAR,4,W21-18vs. NO,58.5,1.2,31,3.1,2.6,0.0,-0.5,-0.1,63.8,2006,REGULAR
16,S. McNair,BAL,4,W16-13vs. SD,58.2,-0.4,36,1.8,0.4,0.7,-0.7,-0.1,46.5,2006,REGULAR
17,B. Johnson,MIN,4,L17-12at BUF,43.8,-1.2,51,1.6,0.0,1.3,0.0,0.3,41.5,2006,REGULAR
18,C. Palmer,CIN,4,L38-13vs. NE,37.7,-1.5,42,0.8,-0.1,0.0,-0.9,0.0,37.6,2006,REGULAR
19,B. Leftwich,JAX,4,L36-30at WSH,32.0,-0.4,45,2.2,0.8,0.5,-1.6,-0.7,46.8,2006,REGULAR
20,M. Hasselbeck,SEA,4,L37-6at CHI,19.3,-6.2,41,-2.7,-4.6,0.7,-1.2,0.0,10.4,2006,REGULAR
21,B. Favre,GB,4,L31-9at PHI,18.2,-5.2,46,-2.1,0.3,-2.2,0.0,-0.2,16.9,2006,REGULAR
22,A. Walter,OAK,4,L24-21vs. CLE,14.9,-2.9,31,-1.0,-2.9,0.4,-1.4,0.1,21.0,2006,REGULAR
23,D. Culpepper,MIA,4,L17-15at HOU,13.8,-4.5,48,-1.6,-3.0,0.0,-2.0,-0.6,21.2,2006,REGULAR
24,A. Smith,SF,4,L41-0at KC,13.3,-4.3,35,-1.2,-2.1,-0.1,-1.1,-0.1,14.9,2006,REGULAR
25,V. Young,TEN,4,L45-14vs. DAL,12.1,-4.1,39,-1.2,0.4,-2.3,-0.2,0.5,18.2,2006,REGULAR
26,K. Warner,ARI,4,L32-10at ATL,10.8,-3.7,26,-2.1,-3.6,-0.4,-1.6,0.3,11.8,2006,REGULAR
1,A. Smith,SF,5,W34-20vs. OAK,93.5,3.7,23,4.9,4.9,0.0,0.0,0.0,90.6,2006,REGULAR
2,M. Bulger,STL,5,W23-20at GB,87.3,3.0,37,5.1,4.0,-0.1,-1.2,0.0,75.7,2006,REGULAR
3,T. Brady,NE,5,W20-10vs. MIA,81.8,4.1,33,5.7,4.4,0.0,-0.4,0.9,85.2,2006,REGULAR
4,R. Grossman,CHI,5,W40-7vs. BUF,80.4,3.6,32,3.2,2.5,0.0,-0.3,0.5,83.0,2006,REGULAR
5,P. Rivers,SD,5,W23-13vs. PIT,72.8,4.4,46,6.8,3.8,1.0,-2.0,-0.1,79.5,2006,REGULAR
6,B. Johnson,MIN,5,W26-17vs. DET,69.7,3.4,38,5.5,5.5,0.0,0.0,0.0,77.8,2006,REGULAR
7,B. Favre,GB,5,L23-20vs. STL,64.7,2.8,44,5.3,3.7,0.0,-0.7,0.9,71.3,2006,REGULAR
8,B. Gradkowski,TB,5,L24-21at NO,63.1,1.4,41,3.7,3.9,-0.6,-0.7,-0.3,61.9,2006,REGULAR
9,E. Manning,NYG,5,W19-3vs. WSH,59.2,3.3,37,4.9,4.8,0.3,0.0,-0.2,78.2,2006,REGULAR
10,J. Delhomme,CAR,5,W20-12vs. CLE,58.8,1.6,30,3.1,3.0,0.0,-0.1,0.0,68.4,2006,REGULAR
11,P. Manning,IND,5,W14-13vs. TEN,56.5,0.8,35,2.8,3.2,-0.4,0.0,0.0,58.2,2006,REGULAR
12,B. Roethlisberger,PIT,5,L23-13at SD,49.9,-2.0,38,0.1,-1.5,0.0,-1.6,0.1,32.5,2006,REGULAR
13,J. Harrington,MIA,5,L20-10at NE,49.8,-1.0,50,1.9,1.0,0.0,-0.7,0.1,42.8,2006,REGULAR
14,M. Leinart,ARI,5,L23-20vs. KC,49.0,1.1,40,3.2,1.2,0.0,-1.8,0.1,59.2,2006,REGULAR
15,B. Leftwich,JAX,5,W41-0vs. NYJ,43.7,0.0,24,0.6,0.6,-0.2,-0.2,0.0,49.3,2006,REGULAR
16,J. Plummer,DEN,5,W13-3vs. BAL,40.2,-1.3,28,0.3,1.6,-1.5,-0.2,0.1,33.9,2006,REGULAR
17,D. McNabb,PHI,5,W38-24vs. DAL,38.2,0.0,39,2.3,-0.3,0.5,-1.9,0.2,50.2,2006,REGULAR
18,V. Young,TEN,5,L14-13at IND,36.7,-1.1,30,0.6,-0.9,1.8,0.0,-0.3,36.9,2006,REGULAR
19,S. McNair,BAL,5,L13-3at DEN,34.4,-3.4,40,-0.9,-3.5,2.0,-0.8,-0.3,23.2,2006,REGULAR
20,D. Brees,NO,5,W24-21vs. TB,32.3,-0.5,38,1.7,2.3,-0.2,0.0,-0.4,45.3,2006,REGULAR
21,M. Brunell,WSH,5,L19-3at NYG,30.7,-1.6,28,0.0,-0.8,0.0,-1.2,-0.4,30.6,2006,REGULAR
22,J. Kitna,DET,5,L26-17at MIN,30.5,-5.3,50,-2.1,-6.4,1.8,-2.6,-0.2,18.3,2006,REGULAR
23,C. Frye,CLE,5,L20-12at CAR,27.2,-5.1,48,-1.9,-2.6,0.1,-0.4,0.2,18.1,2006,REGULAR
24,D. Bledsoe,DAL,5,L38-24at PHI,24.6,-4.5,53,-1.3,-5.9,2.2,-2.6,-0.1,23.0,2006,REGULAR
25,A. Walter,OAK,5,L34-20at SF,24.5,-2.4,28,-0.8,0.2,-1.3,-0.5,-0.2,22.6,2006,REGULAR
26,D. Huard,KC,5,W23-20at ARI,22.0,-3.4,43,-0.8,0.0,-2.0,-1.3,-0.1,24.9,2006,REGULAR
27,J.P. Losman,BUF,5,L40-7at CHI,21.4,-5.4,38,-1.9,-2.8,-0.1,-1.0,0.0,11.6,2006,REGULAR
28,C. Pennington,NYJ,5,L41-0at JAX,4.8,-6.3,26,-2.7,-3.6,-0.1,-0.8,0.3,3.2,2006,REGULAR
1,B. Roethlisberger,PIT,6,W45-7vs. KC,97.4,6.3,22,4.2,3.9,-0.2,-0.4,0.1,98.3,2006,REGULAR
2,P. Rivers,SD,6,W48-19at SF,95.3,9.0,44,8.3,7.9,0.1,0.0,0.3,94.8,2006,REGULAR
3,J. Plummer,DEN,6,W13-3vs. OAK,89.0,2.8,23,3.6,0.8,1.7,-1.0,0.2,84.5,2006,REGULAR
4,J. Delhomme,CAR,6,W23-21at BAL,87.2,4.2,43,6.5,5.6,0.0,-0.6,0.3,79.8,2006,REGULAR
5,K. Boller,BAL,6,L23-21vs. CAR,77.8,3.0,40,5.0,2.7,1.2,-0.6,0.4,74.1,2006,REGULAR
6,M. Leinart,ARI,6,L24-23vs. CHI,73.1,1.8,46,3.4,3.4,0.0,-0.2,-0.2,63.6,2006,REGULAR
7,J. Harrington,MIA,6,L20-17at NYJ,72.4,2.9,45,4.9,4.6,0.0,0.0,0.2,71.3,2006,REGULAR
8,D. Brees,NO,6,W27-24vs. PHI,69.3,3.0,42,5.3,5.1,-0.1,0.0,0.4,73.2,2006,REGULAR
9,D. Bledsoe,DAL,6,W34-6vs. HOU,61.6,3.1,34,4.6,3.6,0.0,-0.9,0.0,78.1,2006,REGULAR
10,D. McNabb,PHI,6,L27-24at NO,60.2,1.0,38,3.1,1.3,0.0,-1.5,0.3,58.9,2006,REGULAR
11,C. Pennington,NYJ,6,W20-17vs. MIA,46.2,0.2,32,2.0,0.8,0.0,-0.6,0.7,52.4,2006,REGULAR
12,C. Palmer,CIN,6,L14-13at TB,44.5,0.2,46,2.8,3.7,-0.9,-0.2,-0.1,51.3,2006,REGULAR
13,A. Walter,OAK,6,L13-3at DEN,42.4,-2.4,39,-0.1,-1.4,0.0,-1.9,-0.6,29.7,2006,REGULAR
14,B. Gradkowski,TB,6,W14-13vs. CIN,38.9,0.3,54,3.4,1.2,1.9,-0.8,-0.4,51.8,2006,REGULAR
15,J.P. Losman,BUF,6,L20-17at DET,37.9,-1.1,44,1.4,-1.7,0.2,-2.7,0.2,41.4,2006,REGULAR
16,D. Huard,KC,6,L45-7at PIT,37.7,-1.0,36,0.5,0.5,0.0,0.0,0.0,40.1,2006,REGULAR
17,D. Carr,HOU,6,L34-6at DAL,36.2,-0.8,32,1.0,1.0,0.2,0.0,-0.2,41.2,2006,REGULAR
18,E. Manning,NYG,6,W27-14at ATL,34.2,-1.4,36,0.7,-0.6,0.0,-0.5,0.8,36.5,2006,REGULAR
19,A. Smith,SF,6,L48-19vs. SD,31.5,-3.5,40,-0.7,-2.1,0.0,-1.3,0.1,22.2,2006,REGULAR
20,J. Kitna,DET,6,W20-17vs. BUF,29.7,-2.1,44,0.4,2.1,-2.7,-1.5,-0.5,33.5,2006,REGULAR
21,V. Young,TEN,6,W25-22at WSH,25.6,-1.0,33,0.9,1.5,-1.4,-0.8,0.0,39.2,2006,REGULAR
22,M. Brunell,WSH,6,L25-22vs. TEN,20.1,-3.3,35,-1.2,2.3,-3.3,0.0,-0.2,21.2,2006,REGULAR
23,M. Vick,ATL,6,L27-14vs. NYG,14.1,-4.8,44,-1.6,-6.0,1.7,-3.0,-0.2,17.8,2006,REGULAR
24,R. Grossman,CHI,6,W24-23at ARI,4.0,-9.2,43,-5.0,-5.5,0.0,-0.6,-0.1,4.6,2006,REGULAR
1,B. Roethlisberger,PIT,7,L41-38at ATL,92.3,5.5,30,7.1,7.0,-1.3,-1.6,-0.1,93.0,2006,REGULAR
2,P. Manning,IND,7,W36-22vs. WSH,91.5,8.6,37,9.2,9.3,0.0,0.0,-0.1,96.4,2006,REGULAR
3,C. Pennington,NYJ,7,W31-24vs. DET,90.6,5.5,29,6.2,4.0,0.7,-0.9,0.6,93.6,2006,REGULAR
4,D. Carr,HOU,7,W27-7vs. JAX,83.7,4.1,39,6.0,4.1,1.0,-0.5,0.3,81.5,2006,REGULAR
5,M. Vick,ATL,7,W41-38vs. PIT,83.7,5.4,38,7.6,6.2,1.2,-0.4,-0.2,88.2,2006,REGULAR
6,C. Palmer,CIN,7,W17-14vs. CAR,68.6,1.7,45,4.3,2.9,0.1,-1.1,0.2,63.1,2006,REGULAR
7,J. Harrington,MIA,7,L34-24vs. GB,67.5,1.1,69,4.3,2.4,0.0,-1.6,0.2,55.5,2006,REGULAR
8,B. Favre,GB,7,W34-24at MIA,64.4,1.7,43,4.2,2.4,0.6,-0.9,0.3,63.7,2006,REGULAR
9,M. Brunell,WSH,7,L36-22at IND,63.4,1.7,43,2.6,1.9,0.0,-0.9,-0.1,63.6,2006,REGULAR
10,D. Huard,KC,7,W30-27vs. SD,63.2,0.1,31,1.9,0.9,0.0,-0.9,0.0,51.6,2006,REGULAR
11,T. Brady,NE,7,W28-6at BUF,60.6,0.8,33,2.0,0.0,0.1,-1.9,0.0,58.1,2006,REGULAR
12,E. Manning,NYG,7,W36-22at DAL,60.1,1.3,30,2.7,2.4,-0.7,-1.0,0.0,65.0,2006,REGULAR
13,M. Hasselbeck,SEA,7,L31-13vs. MIN,59.6,0.0,20,1.2,0.2,0.0,-1.0,-0.1,49.8,2006,REGULAR
14,A. Walter,OAK,7,W22-9vs. ARI,59.0,2.3,41,3.8,2.6,-0.2,-1.3,0.1,69.0,2006,REGULAR
15,B. Johnson,MIN,7,W31-13at SEA,54.0,-0.4,32,1.4,-0.1,-0.1,-1.3,0.3,45.4,2006,REGULAR
16,J. Kitna,DET,7,L31-24at NYJ,51.7,0.0,42,1.8,0.6,0.9,-0.5,-0.2,50.4,2006,REGULAR
17,J. Plummer,DEN,7,W17-7at CLE,48.4,0.2,45,2.5,1.4,0.3,-0.8,0.0,51.9,2006,REGULAR
18,P. Rivers,SD,7,L30-27at KC,45.5,-0.2,52,2.6,0.9,0.0,-1.0,0.6,49.0,2006,REGULAR
19,D. McNabb,PHI,7,L23-21at TB,45.4,0.3,42,2.6,-0.2,2.3,-0.6,-0.1,52.8,2006,REGULAR
20,B. Gradkowski,TB,7,W23-21vs. PHI,40.5,-0.5,33,1.5,0.2,0.4,-0.7,0.2,45.1,2006,REGULAR
21,S. Wallace,SEA,7,L31-13vs. MIN,34.6,-2.1,29,-0.3,-0.8,-0.2,-0.7,0.0,26.0,2006,REGULAR
22,J. Delhomme,CAR,7,L17-14at CIN,32.5,-1.3,38,0.9,0.1,0.0,-1.0,-0.2,38.1,2006,REGULAR
23,B. Leftwich,JAX,7,L27-7at HOU,21.2,-2.0,35,0.1,-1.3,0.0,-0.8,0.6,31.1,2006,REGULAR
24,C. Frye,CLE,7,L17-7vs. DEN,14.1,-5.9,40,-2.7,-3.6,-1.0,-1.9,-0.1,11.1,2006,REGULAR
25,J.P. Losman,BUF,7,L28-6vs. NE,14.1,-4.2,32,-1.6,-1.9,-0.4,-0.9,-0.3,13.6,2006,REGULAR
26,T. Romo,DAL,7,L36-22vs. NYG,6.3,-5.0,29,-2.2,-3.4,0.5,-0.7,0.0,8.1,2006,REGULAR
27,M. Leinart,ARI,7,L22-9at OAK,6.2,-9.3,38,-5.1,-5.4,-0.6,-1.1,-0.1,3.0,2006,REGULAR
1,S. McNair,BAL,8,W35-22at NO,99.5,10.7,29,8.3,5.7,2.7,-0.1,-0.2,99.5,2006,REGULAR
2,P. Manning,IND,8,W34-31at DEN,98.4,10.4,41,12.7,12.8,0.0,0.0,-0.1,97.3,2006,REGULAR
3,D. Huard,KC,8,W35-28vs. SEA,94.8,6.3,30,7.7,7.6,0.0,-0.4,-0.4,95.1,2006,REGULAR
